frame,id,x,y,w,h
138,7,978,365,58,58
139,1,630,171,71,71
139,2,847,164,70,70
139,3,993,192,51,51
139,6,980,344,59,59
139,7,978,365,58,58
139,8,82,108,51,51
140,1,620,165,88,88
140,2,847,165,70,70
140,3,993,194,51,51
140,8,83,108,51,51
141,1,623,170,81,81
141,2,846,166,70,70
141,3,992,195,51,51
141,8,83,108,51,51
142,1,622,174,77,77
142,2,844,165,72,72
142,3,991,197,51,51
142,8,83,108,51,51
143,1,620,174,79,79
143,2,845,168,70,70
143,3,992,198,50,50
143,8,85,108,51,51
144,1,617,173,80,80
144,2,844,169,71,71
144,3,990,199,51,51
144,8,84,108,51,51
145,1,616,176,78,78
145,2,841,170,71,71
145,3,990,200,51,51
145,8,84,108,51,51
146,1,617,179,75,75
146,2,842,173,69,69
146,3,990,200,51,51
146,8,86,108,51,51
147,1,613,176,79,79
147,2,839,174,69,69
147,3,990,200,51,51
147,8,86,108,51,51
148,1,611,178,78,78
148,2,839,174,69,69
148,3,991,199,50,50
148,8,86,108,51,51
149,1,612,179,73,73
149,2,840,176,70,70
149,3,990,198,51,51
149,8,86,108,51,51
150,1,610,176,76,76
150,2,836,176,70,70
150,3,992,196,51,51
150,8,86,108,51,51
151,1,605,172,81,81
151,2,837,176,70,70
151,3,992,196,51,51
151,8,86,108,51,51
152,1,602,171,85,85
152,2,834,176,68,68
152,3,992,195,51,51
152,8,88,108,51,51
152,9,980,347,60,60
153,1,605,173,77,77
153,2,834,176,68,68
153,3,993,193,51,51
153,8,89,108,51,51
153,9,978,347,59,59
154,1,606,173,74,74
154,2,831,173,69,69
154,3,993,191,51,51
154,8,89,108,51,51
154,9,980,346,59,59
154,10,974,389,53,53
155,1,599,168,81,81
155,2,829,174,67,67
155,3,993,190,51,51
155,8,89,108,51,51
155,9,980,345,60,60
155,10,974,389,53,53
155,11,519,10,74,74
156,1,600,166,80,80
156,2,826,170,71,71
156,3,993,189,50,50
156,8,88,107,53,53
156,9,983,344,58,58
156,10,974,389,53,53
156,11,519,10,74,74
157,1,594,163,85,85
157,2,824,169,70,70
157,3,994,188,51,51
157,8,88,107,53,53
157,9,984,343,58,58
157,10,974,389,53,53
157,11,519,10,74,74
158,1,602,168,72,72
158,2,824,169,69,69
158,3,993,188,52,52
158,8,91,108,51,51
158,9,986,341,59,59
158,10,974,389,53,53
158,11,519,10,74,74
159,1,599,165,78,78
159,2,823,167,70,70
159,3,994,188,51,51
159,8,90,109,50,50
159,9,986,341,59,59
159,10,974,389,53,53
159,11,519,10,74,74
160,1,601,166,74,74
160,2,823,166,70,70
160,3,995,189,51,51
160,8,90,109,50,50
160,9,986,341,59,59
160,10,974,389,53,53
160,11,519,10,74,74
161,1,599,164,78,78
161,2,825,167,65,65
161,3,996,189,50,50
161,8,90,109,50,50
161,9,987,341,61,61
161,10,974,389,53,53
161,11,519,10,74,74
162,1,595,164,81,81
162,2,822,164,72,72
162,3,996,191,52,52
162,8,90,109,50,50
162,9,991,346,56,56
162,10,974,389,53,53
162,11,519,10,74,74
163,1,595,165,83,83
163,2,826,166,67,67
163,3,997,192,52,52
163,8,90,109,50,50
163,9,990,350,56,56
163,10,974,389,53,53
163,11,519,10,74,74
164,1,600,167,79,79
164,2,826,166,66,66
164,3,998,194,51,51
164,8,90,109,50,50
164,9,988,350,60,60
164,10,974,389,53,53
164,11,519,10,74,74
165,1,601,171,74,74
165,2,826,164,68,68
165,3,999,195,52,52
165,8,93,109,51,51
165,9,988,352,62,62
165,11,519,10,74,74
166,1,596,169,79,79
166,2,826,165,66,66
166,3,1000,197,51,51
166,8,93,109,50,50
166,9,988,352,62,62
166,11,519,10,74,74
167,1,597,170,80,80
167,2,827,165,66,66
167,3,1001,198,51,51
167,8,91,108,51,51
167,9,988,352,62,62
168,1,606,179,67,67
168,2,827,165,66,66
168,3,1003,198,51,51
168,8,91,108,51,51
168,9,988,352,62,62
168,12,668,500,100,100
169,1,602,176,74,74
169,2,830,168,64,64
169,3,1004,199,51,51
169,8,91,108,51,51
169,9,988,352,62,62
169,12,671,503,92,92
170,1,605,181,68,68
170,2,830,169,65,65
170,3,1005,198,51,51
170,8,90,108,51,51
170,9,988,352,62,62
170,12,668,503,97,97
171,1,604,180,73,73
171,2,828,167,69,69
171,3,1005,198,51,51
171,8,90,108,51,51
171,9,988,352,62,62
171,12,668,503,97,97
172,1,603,180,76,76
172,2,831,171,65,65
172,3,1006,196,50,50
172,8,90,108,51,51
172,9,988,352,62,62
172,12,668,503,97,97
173,1,607,184,70,70
173,2,831,172,67,67
173,3,1006,194,52,52
173,8,90,108,51,51
173,9,993,353,57,57
173,12,668,503,97,97
173,13,987,375,60,60
174,1,606,182,75,75
174,2,831,174,67,67
174,3,1007,194,51,51
174,8,90,108,51,51
174,9,988,373,60,60
174,12,670,504,95,95
174,13,987,375,60,60
174,14,525,9,74,74
175,1,608,184,73,73
175,2,831,178,65,65
175,3,1007,193,51,51
175,8,90,108,51,51
175,9,988,370,64,64
175,12,670,504,95,95
175,13,993,350,60,60
175,14,525,9,74,74
176,1,609,184,70,70
176,2,832,177,69,69
176,3,1008,191,51,51
176,8,90,108,51,51
176,9,988,370,64,64
176,12,670,504,95,95
176,13,993,350,60,60
176,14,525,9,74,74
177,1,610,185,70,70
177,2,832,179,68,68
177,3,1008,190,52,52
177,8,90,108,51,51
177,9,990,345,65,65
177,12,670,504,95,95
177,13,993,350,60,60
177,14,525,9,74,74
178,1,608,180,79,79
178,2,832,179,68,68
178,3,1008,188,52,52
178,8,90,108,51,51
178,9,990,345,65,65
178,12,670,504,95,95
178,13,993,350,60,60
178,14,525,9,74,74
